keyword,ws,wsk,superwsk,domains_count,domains_list,domains_top10_count,our_status,our_intent,our_cluster,min_competitor_pos,top_competitor_url,tier_freq,intent_marker,cluster_hint,multi_cluster
клининг москва,16606,2109,2067,2,cleaning-moscow.ru;moscleaning24.ru,1,not_planned,,,2,/,ВЧ,локальный,,False
дома фасад,160613,1799,2,2,fasadrf.ru;kronotech.ru,0,not_planned,,,18,/publications/otdelka-fasada-chastnogo-doma,СЧ,общий,,False
кгм,206527,1678,1678,3,mmusor.ru;musor.moscow;stroj-musor.moscow,1,not_planned,,,10,/blog/krupnogabaritnyj-musor,ВЧ,общий,vyvoz-musora,False
обрезка деревьев,104125,1600,1600,2,drovosek-mo.ru;liwood.ru,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:6,30,/obrezka-derevev-v-moskovskoi-oblasti,ВЧ,коммерческий,arboristika,False
тко это что в квитанции,9847,1571,34,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,15,/stati/tko-v-kvitancii,СЧ,общий,vyvoz-musora,False
тко в квитанции что это,9847,1571,783,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,15,/stati/tko-v-kvitancii,СЧ,общий,vyvoz-musora,False
корчевка,6146,1356,1356,2,arboristik.ru;lesoruby.com,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:10,22,/korchevanie-i-udalenie-pnej,ВЧ,коммерческий,arboristika,False
тбо это,4222,1203,1203,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,18,/blog/chto-takoe-tbo,ВЧ,общий,vyvoz-musora,False
чистка снега с крыши цена за м2,1316,1143,1143,6,alpbond.org;cleaning-moscow.ru;fasadrf.ru;formula-v.ru;moscleaning24.ru;promalper.ru,2,planned,коммерческий,localFALLBACK-WITHFREQ-20260425T151607Z:1,7,/uborka-snega-s-kryish.html,ВЧ,коммерческий,uborka-snega,False
чистка крыши от снега,15014,1073,1067,4,fasadrf.ru;formula-v.ru;kronotech.ru;promalper.ru,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:1,14,/uborka-snega-s-kryish.html,ВЧ,общий,uborka-snega,False
промышленный альпинизм,9235,1068,1045,5,alpbond.org;formula-v.ru;kronotech.ru;liwood.ru;promalper.ru,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:13,20,/vysotnye-raboty/promalp,ВЧ,общий,,False
вентфасад,19210,1038,1038,2,fasadrf.ru;kronotech.ru,0,not_planned,,,24,/publications/ventiliruemyy-fasad-dlya-chastnogo-doma,ВЧ,общий,,False
арборист,6459,1020,1020,6,alpbond.org;arbogarden.ru;arborist.su;lesoruby.com;lesovod.su;rusarbo.ru,1,not_planned,,,6,/,ВЧ,общий,arboristika,False
короед фото жук,1929,960,55,2,arbogarden.ru;liwood.ru,0,not_planned,,,39,/stati/obrabotka-dereva-ot-koroeda,СЧ,общий,,False
промышленный альпинист,13823,953,907,3,fasadrf.ru;kronotech.ru;liwood.ru,1,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:13,9,/vysotnye-raboty/promalp,СЧ,общий,,False
омела на деревьях,3027,824,822,2,arborist.su;arboristik.ru,0,not_planned,,,20,/articles/nashi-stati/omela-na-derevyakh-chto-eto-takoe-i-kak-s-ney-borotsya,СЧ,общий,arboristika,False
порубочный билет,13237,822,822,2,arborist.su;virubka-dereva.ru,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:7,15,/services/oformlenie-dokumentatsii/oformlenie-porubochnogo-bileta,СЧ,общий,,False
альпинизм промышленный,9111,818,21,4,kronotech.ru;liwood.ru;promalper.ru;promtehalp.ru,0,planned,общий,test50-1505300:22,14,/vysotnye-raboty/promalp,СЧ,общий,,False
альпинист промышленный,12598,815,42,3,alpbond.org;fasadrf.ru;kronotech.ru,1,not_planned,,,3,/vysotnye-raboty/promalp,СЧ,общий,,False
об отходах производства и потребления 89 фз,9878,811,152,2,gsvm.ru;musor.moscow,0,not_planned,,,39,/documentation/fz89,СЧ,общий,vyvoz-musora,False
москва вывоз мусора,10785,805,11,3,mmusor.ru;musor.moscow;stroj-musor.moscow,2,planned,локальный,localFALLBACK-WITHFREQ-20260425T151607Z:2,6,/,СЧ,коммерческий+локальный,vyvoz-musora,False
оссиг,8009,793,793,2,musor.moscow;stroj-musor.moscow,2,not_planned,,,6,/vyvoz-ossig,СЧ,общий,,False
расчистка участка,12043,783,783,3,arboristik.ru;liwood.ru;spilservis.ru,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:19,15,/services/uborka-territorii/raschistka-uchastka,СЧ,общий,,False
тбо полигон,24152,738,27,2,musor.moscow;stroj-musor.moscow,1,not_planned,,,8,/blog/poligon-tbo,СЧ,общий,vyvoz-musora,False
чистка крыши от снега и наледи цены,951,712,712,8,cleaning-moscow.ru;fasadrf.ru;formula-v.ru;kronotech.ru;lesovod.su;liwood.ru;udalenie-dereviev.moscow;umisky.ru,2,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:16,8,/uslugi/kliningovye-raboty/ochistka-krysh,СЧ,коммерческий,uborka-snega,False
утилизация это,8605,697,697,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,34,/stati/utilizacija-othodov,СЧ,общий,,False
уборка снега в москве,10399,693,688,2,gsvm.ru;liwood.ru,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:1,11,/snow,СЧ,локальный,uborka-snega,False
тко что такое в квитанции,5999,692,7,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,12,/stati/tko-v-kvitancii,СЧ,информационный,vyvoz-musora,False
заказать вывоз мусора,9938,678,655,4,gsvm.ru;mmusor.ru;musor.moscow;stroj-musor.moscow,2,planned,коммерческий,localFALLBACK-WITHFREQ-20260425T151607Z:2,8,/,СЧ,коммерческий,vyvoz-musora,False
златка ясеневая,2476,676,112,2,arborist.su;arboristik.ru,0,not_planned,,,31,/articles/nashi-stati/prichina-usykhaniya-yaseney-zlatka-yasenevaya-izumrudnaya,СЧ,общий,,False
работы демонтажные,13754,674,0,2,demonti.ru;kronotech.ru,0,not_planned,,,16,/prays-demontazhnye-raboty,СЧ,общий,demontazh-b2c,False
клининг заказать,3549,668,339,2,cleaning-moscow.ru;moscleaning24.ru,0,not_planned,,,12,/,СЧ,коммерческий,,False
услуги клининговые,11262,659,0,2,cleaning-moscow.ru;moscleaning24.ru,1,not_planned,,,3,/price,СЧ,коммерческий,,False
спил деревьев,38160,644,644,7,arbogarden.ru;arboristik.ru;drovosek-mo.ru;forest-service.ru;rusarbo.ru;spilservis.ru;udalenie-dereviev.moscow,3,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:5,3,/,СЧ,коммерческий,arboristika,False
вывоз тко это что,1362,636,59,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,23,/stati/tko-v-kvitancii,СЧ,коммерческий,vyvoz-musora,False
вывоз тко что это,1362,636,572,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,26,/blog/chto-takoe-tko,СЧ,коммерческий,vyvoz-musora,False
очистка крыши от снега и наледи цены,1001,633,633,4,fasadrf.ru;formula-v.ru;kronotech.ru;liwood.ru,1,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:16,8,/services/promyshlennyy-alpinizm/ochistka-krysh-ot-snega,СЧ,коммерческий,uborka-snega,False
рециклинг это,2226,628,628,2,musor.moscow;stroj-musor.moscow,1,not_planned,,,10,/blog/recikling,СЧ,общий,,False
89 фз об отходах,11023,624,477,2,gsvm.ru;musor.moscow,0,not_planned,,,26,/documentation/fz89,СЧ,общий,vyvoz-musora,False
контейнер для мусора заказать,10468,606,350,3,gsvm.ru;mmusor.ru;musor.moscow,2,planned,коммерческий,localFALLBACK-WITHFREQ-20260425T151607Z:4,4,/,СЧ,коммерческий,vyvoz-musora,False
контейнер заказать для мусора,10468,606,30,3,gsvm.ru;musor.moscow;stroj-musor.moscow,1,not_planned,,,10,/,СЧ,коммерческий,vyvoz-musora,False
об отходах производства и потребления фз,11716,605,11,2,gsvm.ru;musor.moscow,0,not_planned,,,39,/documentation/fz89,СЧ,общий,vyvoz-musora,False
клининг после ремонта,3991,596,596,2,cleaning-moscow.ru;moscleaning24.ru,0,not_planned,,,11,/uborka-posle-remonta,СЧ,общий,,False
обращение с тко что такое,3177,595,7,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,22,/stati/tko-v-kvitancii,СЧ,информационный,vyvoz-musora,False
омела на деревьях что это,766,594,587,2,arborist.su;arboristik.ru,0,not_planned,,,25,/articles/nashi-stati/omela-na-derevyakh-chto-eto-takoe-i-kak-s-ney-borotsya,СЧ,общий,arboristika,False
мойка фасадов,8716,588,588,2,cleaning-moscow.ru;promalper.ru,0,not_planned,,,19,/mojka-fasadov.html,СЧ,общий,,False
контейнер вывоз мусора,21485,585,78,3,mmusor.ru;musor.moscow;stroj-musor.moscow,3,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:4,3,/,СЧ,коммерческий,vyvoz-musora,False
контейнер 8 кубов для мусора,2226,583,480,3,mmusor.ru;musor.moscow;stroj-musor.moscow,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:4,23,/containers/8-m3-do-5-tonn,СЧ,общий,vyvoz-musora,False
контейнер для мусора 8 кубов,2226,583,78,2,musor.moscow;stroj-musor.moscow,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:4,14,/containers/8-m3-do-5-tonn,СЧ,общий,vyvoz-musora,False
клининг химчистка,1265,580,21,2,cleaning-moscow.ru;moscleaning24.ru,0,not_planned,,,17,/himchistka,СЧ,общий,,False
утепление крыши,20330,576,576,2,alpbond.org;kronotech.ru,0,not_planned,,,25,/publications/uteplenie-kryshi-chastnogo-doma,СЧ,общий,,False
спил,93070,576,576,4,arboristik.ru;lesovod.su;spilservis.ru;udalenie-dereviev.moscow,0,not_planned,,,30,/services/spil-derevev,СЧ,коммерческий,arboristika,False
обращение с тко что такое в квитанции,3028,575,0,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,17,/stati/tko-v-kvitancii,СЧ,информационный,vyvoz-musora,False
обращение с тко в квитанции что такое,3028,575,15,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,17,/stati/tko-v-kvitancii,СЧ,информационный,vyvoz-musora,False
кронирование деревьев,4749,572,572,7,alpbond.org;arbogarden.ru;arboristik.ru;drovosek-mo.ru;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:18,17,/services/obrezka-dereviev/kronirovanie-dereviev,СЧ,общий,arboristika,False
вентилируемые фасады,32585,566,551,2,fasadrf.ru;kronotech.ru,0,not_planned,,,14,/montazh-fasada/ventiliruemy-fasad,СЧ,общий,,False
заказать контейнер для мусора,9424,562,207,4,gsvm.ru;mmusor.ru;musor.moscow;stroj-musor.moscow,1,planned,коммерческий,localFALLBACK-WITHFREQ-20260425T151607Z:4,7,/,СЧ,коммерческий,vyvoz-musora,False
как перевести тонны в кубы мусора калькулятор тко,567,550,17,2,musor.moscow;stroj-musor.moscow,0,planned,информационный,localFALLBACK-WITHFREQ-20260425T151607Z:86,39,/stati/ves-stroitelnogo-musora,СЧ,информационный,vyvoz-musora,False
демонтаж квартиры,6933,548,548,2,demontazhmsk.ru;kronotech.ru,0,not_planned,,,21,/prays-demontazhnye-raboty,СЧ,общий,demontazh-b2c,False
вывоз мусора москва,9945,546,533,3,gsvm.ru;musor.moscow;stroj-musor.moscow,0,planned,локальный,localFALLBACK-WITHFREQ-20260425T151607Z:2,11,/,СЧ,коммерческий+локальный,vyvoz-musora,False
монтаж водосточной системы,5951,545,545,2,alpbond.org;kronotech.ru,0,not_planned,,,31,/publications/ustanovka-vodostochnoy-sistemy,СЧ,общий,,False
фз 89 об отходах,9740,542,132,2,gsvm.ru;musor.moscow,0,not_planned,,,21,/documentation/fz89,СЧ,общий,vyvoz-musora,False
фз об отходах производства и потребления,10740,526,517,2,gsvm.ru;musor.moscow,0,not_planned,,,21,/documentation/fz89,СЧ,общий,vyvoz-musora,False
сколько стоит обшить дом сайдингом,2604,526,429,2,alpbond.org;fasadrf.ru,0,not_planned,,,39,/montazh-fasada/saiding,СЧ,коммерческий,,False
химчистка на дому дивана,5580,519,2,2,cleaning-moscow.ru;moscleaning24.ru,1,not_planned,,,9,/himchistka/myagkoj-mebeli,СЧ,общий,,False
химчистка матраса,5634,504,504,2,cleaning-moscow.ru;moscleaning24.ru,1,not_planned,,,2,/himchistka/matrasy,СЧ,общий,,False
клининг москва уборка квартир,3258,493,461,2,cleaning-moscow.ru;moscleaning24.ru,0,not_planned,,,41,/,СЧ,локальный,,False
клининг уборка квартир москва,3258,493,31,2,cleaning-moscow.ru;moscleaning24.ru,0,not_planned,,,22,/uborka-kvartir,СЧ,локальный,,False
стеклобой,4719,482,482,2,mmusor.ru;musor.moscow,1,not_planned,,,10,/articles/vyvoz-bitogo-stekla-na-utilizatsiyu,СЧ,общий,,False
химчистка дивана на дому москва,809,474,458,2,cleaning-moscow.ru;moscleaning24.ru,0,not_planned,,,18,/himchistka/myagkoj-mebeli,СЧ,локальный,,False
класс опасности отходов,71513,473,473,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,16,/blog/klassy-opasnosti-othodov,СЧ,общий,vyvoz-musora,False
рециклинг что это,1081,465,452,2,musor.moscow;stroj-musor.moscow,1,not_planned,,,9,/blog/recikling,СЧ,общий,,False
рециклинг это что,1081,465,12,2,musor.moscow;stroj-musor.moscow,2,not_planned,,,7,/stati/recikling,СЧ,общий,,False
промышленный альпинист вакансии,1575,461,375,2,alpbond.org;liwood.ru,0,not_planned,,,11,/vacancy,СЧ,общий,,False
полигон мусорный,16775,460,45,2,musor.moscow;stroj-musor.moscow,1,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:69,10,/blog/poligon-tbo,СЧ,общий,vyvoz-musora,False
спил дерева,38161,437,437,8,alpbond.org;arbogarden.ru;arboristik.ru;drovosek-mo.ru;forest-service.ru;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,4,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:5,4,/tsenyi,СЧ,коммерческий,arboristika,False
аис оссиг,1432,428,425,2,gsvm.ru;stroj-musor.moscow,0,not_planned,,,12,/news/ais-ossig-chto-eto-znachit-i-zachem-sushhestvuet,СЧ,общий,,False
монтажные работы,101940,424,424,2,formula-v.ru;kronotech.ru,0,not_planned,,,18,/stroitelno-montazhnye-raboty,СЧ,общий,,False
вывоз тбо,17523,405,398,3,mmusor.ru;musor.moscow;stroj-musor.moscow,1,not_planned,,,5,/service,СЧ,коммерческий,vyvoz-musora,False
чистка крыши от снега цена,2128,401,397,7,alpbond.org;cleaning-moscow.ru;formula-v.ru;kronotech.ru;liwood.ru;moscleaning24.ru;umisky.ru,1,planned,коммерческий,localFALLBACK-WITHFREQ-20260425T151607Z:1,4,/sbros-snega-s-krysh,СЧ,коммерческий,uborka-snega,False
контейнер для строительного мусора,6895,400,353,4,gsvm.ru;mmusor.ru;musor.moscow;stroj-musor.moscow,2,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:4,4,/,СЧ,общий,vyvoz-musora,False
контейнер для мусора строительного,6895,400,43,2,mmusor.ru;stroj-musor.moscow,1,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:4,4,/,СЧ,общий,vyvoz-musora,False
перевести кубические метры в тонны мусор,1693,397,0,2,musor.moscow;stroj-musor.moscow,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:46,20,/blog/ves-stroitelnogo-musora,СЧ,общий,vyvoz-musora,False
перевести метры кубические в тонны мусор,1693,397,391,2,musor.moscow;stroj-musor.moscow,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:46,23,/stati/ves-stroitelnogo-musora,СЧ,общий,vyvoz-musora,False
гидрофобизация,2265,396,396,2,alpbond.org;formula-v.ru,1,not_planned,,,4,/gidrofobizaciya-fasadov,СЧ,общий,,False
вывоз мусора в москве,5421,390,390,4,gsvm.ru;mmusor.ru;musor.moscow;stroj-musor.moscow,2,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:2,5,/,СЧ,коммерческий+локальный,vyvoz-musora,False
переработка отходов,47535,390,390,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,22,/blog/recikling,СЧ,общий,vyvoz-musora,False
валка деревьев,8154,389,389,10,alpbond.org;arbogarden.ru;arborist.su;arboristik.ru;drovosek-mo.ru;lesoruby.com;lesovod.su;liwood.ru;promalper.ru;spilservis.ru,3,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:29,5,/tsenyi,СЧ,общий,arboristika,False
что такое тко в квитанции за квартиру,828,378,377,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,14,/stati/tko-v-kvitancii,СЧ,информационный,vyvoz-musora,False
помыть окна в офисе стоимость,406,378,378,2,cleaning-moscow.ru;moscleaning24.ru,2,not_planned,,,2,/uborka-ofisov/moyka-okon,СЧ,коммерческий,,False
утепление фасада,23970,377,377,2,fasadrf.ru;kronotech.ru,1,not_planned,,,9,/fasadnye-raboty/uteplenie,СЧ,общий,,False
вакансии промышленный альпинист,1473,374,67,2,kronotech.ru;promtehalp.ru,0,not_planned,,,11,/vacancy,СЧ,общий,,False
оссиг расшифровка,445,369,369,2,musor.moscow;stroj-musor.moscow,2,not_planned,,,4,/blog/ossig,СЧ,общий,,False
альпинист промышленный вакансии,1445,366,5,3,alpbond.org;liwood.ru;promtehalp.ru,0,planned,общий,test50-1505300:16,14,/vacancy,СЧ,общий,,False
арбористика,2308,366,366,6,alpbond.org;arbogarden.ru;arborist.su;lesoruby.com;rusarbo.ru;udalenie-dereviev.moscow,0,not_planned,,,13,/,СЧ,общий,arboristika,False
мусор тко расшифровка,396,364,42,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,23,/stati/tko,СЧ,общий,vyvoz-musora,False
клининг цена,31235,354,349,2,cleaning-moscow.ru;moscleaning24.ru,0,not_planned,,,17,/price,СЧ,коммерческий,,False
уборка снега с крыш,110776,351,351,4,alpbond.org;kronotech.ru;liwood.ru;moscleaning24.ru,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:1,14,/sbros-snega-s-krysh,СЧ,общий,uborka-snega,False
как выглядит короед,1729,344,255,2,arbogarden.ru;liwood.ru,0,not_planned,,,38,/info/articles/sposoby-zashchity-ot-koroeda,СЧ,информационный,,False
арборист это кто,757,339,20,4,lesoruby.com;rusarbo.ru;treeworkers.ru;udalenie-dereviev.moscow,1,not_planned,,,8,/poleznye-stati/arborist-kto-eto-i-chem-zanimaetsya,СЧ,общий,arboristika,False
арборист кто это,757,339,319,3,arbogarden.ru;treeworkers.ru;udalenie-dereviev.moscow,1,not_planned,,,10,/poleznye-stati/arborist-kto-eto-i-chem-zanimaetsya,СЧ,общий,arboristika,False
очистка снега с крыши цена за квадратный метр,469,333,333,7,alpbond.org;formula-v.ru;kronotech.ru;liwood.ru;moscleaning24.ru;promalper.ru;umisky.ru,4,planned,коммерческий,localFALLBACK-WITHFREQ-20260425T151607Z:1,6,/uborka-snega-s-kryish.html,СЧ,коммерческий,uborka-snega,False
фасады вентилируемые,29117,333,9,2,fasadrf.ru;kronotech.ru,0,not_planned,,,13,/montazh-fasada/ventiliruemy-fasad,СЧ,общий,,False
сколько стоит клининг,5531,333,277,2,cleaning-moscow.ru;moscleaning24.ru,1,not_planned,,,10,/price,СЧ,коммерческий,,False
об отходах производства и потребления,17325,328,327,2,gsvm.ru;stroj-musor.moscow,0,not_planned,,,25,/documentation/fz89,СЧ,общий,vyvoz-musora,False
тбо вывоз,20643,326,7,4,gsvm.ru;mmusor.ru;musor.moscow;stroj-musor.moscow,1,not_planned,,,7,/,СЧ,коммерческий,vyvoz-musora,False
класс опасности отходов 4,17866,323,16,2,musor.moscow;stroj-musor.moscow,1,not_planned,,,8,/blog/klassy-opasnosti-othodov,СЧ,общий,vyvoz-musora,False
отходы 1 и 2 класса опасности перечень,454,320,320,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,16,/blog/klassy-opasnosti-othodov,СЧ,общий,vyvoz-musora,False
клининг сколько стоит,5584,320,41,2,cleaning-moscow.ru;moscleaning24.ru,2,not_planned,,,8,/price,СЧ,коммерческий,,False
промальп,6652,317,317,2,kronotech.ru;promalper.ru,1,not_planned,,,7,/vysotnye-raboty/promalp,СЧ,общий,,False
клининг офиса,2397,313,312,2,cleaning-moscow.ru;moscleaning24.ru,2,not_planned,,,7,/uborka-ofisov,СЧ,общий,,False
кго это,2237,312,312,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,21,/blog/krupnogabaritnyj-musor,СЧ,общий,,False
чистка снега с крыши цена,2788,312,309,4,alpbond.org;fasadrf.ru;liwood.ru;moscleaning24.ru,2,planned,коммерческий,localFALLBACK-WITHFREQ-20260425T151607Z:1,8,/sbros-snega-s-krysh,СЧ,коммерческий,uborka-snega,False
обшивка сайдингом,25841,309,309,2,fasadrf.ru;kronotech.ru,0,not_planned,,,22,/publications/obshivka-doma-saydingom,СЧ,общий,,False
кронирование,6930,308,308,5,alpbond.org;cleaning-moscow.ru;drovosek-mo.ru;spilservis.ru;udalenie-dereviev.moscow,2,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:18,9,/services/obrezka-dereviev/kronirovanie-dereviev,СЧ,общий,arboristika,False
после пожара уборка,1158,308,4,2,cleaning-moscow.ru;moscleaning24.ru,1,not_planned,,,10,/uborka-posle-pozhara,СЧ,общий,,False
recycling,76036,306,306,2,musor.moscow;stroj-musor.moscow,2,not_planned,,,7,/blog/recikling,СЧ,общий,,False
89 фз от 24.06.1998 об отходах производства и потребления,4407,306,292,2,gsvm.ru;musor.moscow,0,not_planned,,,31,/documentation/fz89,СЧ,общий,vyvoz-musora,False
вывоз мусора крупногабаритного,4777,306,18,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,1,not_planned,,,7,/service,СЧ,коммерческий,vyvoz-musora,False
отходы 1 4 класса опасности что к ним относится,393,304,304,2,musor.moscow;stroj-musor.moscow,1,not_planned,,,7,/blog/klassy-opasnosti-othodov,СЧ,общий,vyvoz-musora,False
осиг,1660,302,302,3,gsvm.ru;musor.moscow;stroj-musor.moscow,0,not_planned,,,29,/blog/ossig,СЧ,общий,,False
помыть окна сколько стоит,5221,298,49,2,cleaning-moscow.ru;moscleaning24.ru,1,not_planned,,,6,/vse-uslugi/mojka-okon,СЧ,коммерческий,,False
тбо что это,1307,297,255,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,18,/blog/chto-takoe-tbo,СЧ,общий,vyvoz-musora,False
вырубка деревьев,21848,297,297,10,arbogarden.ru;arborist.su;arboristik.ru;drovosek-mo.ru;forest-service.ru;lesovod.su;liwood.ru;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,4,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:15,1,/,СЧ,общий,arboristika,False
клининг складских помещений,327,294,294,3,cleaning-moscow.ru;moscleaning24.ru;promalper.ru,0,not_planned,,,14,/uborka-pomeshhenij/skladov,СЧ,общий,,False
вывоз строительного мусора в москве,1005,292,292,2,gsvm.ru;mmusor.ru,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:17,11,/,СЧ,коммерческий+локальный,vyvoz-musora,False
вывоз мусора контейнер,13145,291,255,4,gsvm.ru;mmusor.ru;musor.moscow;stroj-musor.moscow,2,not_planned,,,6,/,СЧ,коммерческий,vyvoz-musora,False
сколько стоит спилить дерево,2707,290,279,11,alpbond.org;arbogarden.ru;arborist.su;arboristik.ru;demonti.ru;drovosek-mo.ru;forest-service.ru;lesovod.su;liwood.ru;spilservis.ru;virubka-dereva.ru,2,planned,информационный,localFALLBACK-WITHFREQ-20260425T151607Z:5,2,/tsenyi,СЧ,коммерческий,arboristika,False
