keyword,ws,wsk,superwsk,domains_count,domains_list,domains_top10_count,our_status,our_intent,our_cluster,min_competitor_pos,top_competitor_url,tier_freq,intent_marker,cluster_hint,multi_cluster,priority
осиг,1660,302,302,3,gsvm.ru;musor.moscow;stroj-musor.moscow,0,not_planned,,,29,/blog/ossig,СЧ,общий,,False,A2
клининг складских помещений,327,294,294,3,cleaning-moscow.ru;moscleaning24.ru;promalper.ru,0,not_planned,,,14,/uborka-pomeshhenij/skladov,СЧ,общий,,False,A2
вывоз мусора контейнер,13145,291,255,4,gsvm.ru;mmusor.ru;musor.moscow;stroj-musor.moscow,2,not_planned,,,6,/,СЧ,коммерческий,vyvoz-musora,False,A2
сколько стоит дерево спилить,2707,290,0,6,arboristik.ru;drovosek-mo.ru;lesovod.su;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,5,not_planned,,,4,/tsenyi,СЧ,коммерческий,arboristika,False,A2
контейнер 8 кубов,7262,277,243,3,mmusor.ru;musor.moscow;stroj-musor.moscow,0,not_planned,,,16,/arenda-kontejnera-8-m3,СЧ,общий,vyvoz-musora,False,A2
фасадные работы,14619,273,273,3,fasadrf.ru;kronotech.ru;promalper.ru,2,not_planned,,,2,/fasadnye-raboty,СЧ,общий,,False,A2
вывоз мусора сколько стоит,5705,250,16,3,gsvm.ru;mmusor.ru;musor.moscow,1,not_planned,,,9,/service,СЧ,коммерческий,vyvoz-musora,False,A2
вывоз,815314,249,249,4,gsvm.ru;mmusor.ru;musor.moscow;stroj-musor.moscow,2,not_planned,,,8,/,СЧ,коммерческий,vyvoz-musora,False,A2
ремонт фасада,28336,247,247,4,alpbond.org;fasadrf.ru;kronotech.ru;promalper.ru,2,not_planned,,,4,/fasadnye-raboty/remont-fasada,СЧ,общий,,False,A2
арборист это,1282,247,247,5,arbogarden.ru;arboristik.ru;rusarbo.ru;treeworkers.ru;udalenie-dereviev.moscow,1,not_planned,,,10,/poleznye-stati/arborist-kto-eto-i-chem-zanimaetsya,СЧ,общий,arboristika,False,A2
измельчитель веток аренда,3528,235,192,6,arbogarden.ru;drovosek-mo.ru;lesovod.su;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,2,not_planned,,,8,/services/arenda-izmelchitelya-vetok-i-drevesiny,СЧ,общий,,False,A2
промышленные работы,71179,230,230,4,alpbond.org;fasadrf.ru;kronotech.ru;promtehalp.ru,2,not_planned,,,9,/,СЧ,общий,,False,A2
монтаж вентилируемого фасада,2970,229,227,3,alpbond.org;fasadrf.ru;kronotech.ru,1,not_planned,,,7,/publications/montazh-fasada,СЧ,общий,,False,A2
обработка от короеда,1407,227,227,3,arbogarden.ru;arboristik.ru;liwood.ru,1,not_planned,,,8,/stati/obrabotka-dereva-ot-koroeda,СЧ,общий,,False,A2
арборист кто это профессия,231,226,226,3,arbogarden.ru;arboristik.ru;udalenie-dereviev.moscow,1,not_planned,,,9,/poleznye-stati/arborist-kto-eto-i-chem-zanimaetsya,СЧ,общий,arboristika,False,A2
альпинисты промышленные,12598,222,62,3,alpbond.org;kronotech.ru;promalper.ru,1,not_planned,,,6,/vysotnye-raboty/promalp,СЧ,общий,,False,A2
спилить дерево,20869,219,214,8,alpbond.org;arbogarden.ru;drovosek-mo.ru;forest-service.ru;lesoruby.com;lesovod.su;spilservis.ru;udalenie-dereviev.moscow,1,not_planned,,,8,/,СЧ,коммерческий,arboristika,False,A2
промышленные альпинисты,13823,217,165,4,alpbond.org;fasadrf.ru;kronotech.ru;promalper.ru,1,not_planned,,,9,/vysotnye-raboty/promalp,СЧ,общий,,False,A2
селитра для удаления пней,1099,214,212,3,liwood.ru;udalenie-dereviev.moscow;virubka-dereva.ru,2,not_planned,,,2,/info/articles/udalenie-pney-s-pomoshchyu-selitry,СЧ,коммерческий,,False,A2
кгм это,1446,203,203,3,gsvm.ru;mmusor.ru;musor.moscow,1,not_planned,,,5,/blog/krupnogabaritnyj-musor,СЧ,общий,vyvoz-musora,False,A2
опиловка деревьев,3869,203,203,6,arbogarden.ru;arboristik.ru;lesovod.su;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,2,not_planned,,,8,/tsenyi,СЧ,общий,arboristika,False,A2
измельчитель веток в аренду,1553,199,193,5,arbogarden.ru;lesovod.su;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,1,not_planned,,,5,/services/arenda-izmelchitelya-vetok-i-drevesiny,СЧ,общий,,False,A2
арбористы,6459,160,160,7,alpbond.org;arborist.su;arboristik.ru;rusarbo.ru;spilservis.ru;treeworkers.ru;udalenie-dereviev.moscow,0,not_planned,,,13,/,СЧ,общий,arboristika,False,A2
чистка кровли,8613,159,157,6,alpbond.org;fasadrf.ru;formula-v.ru;kronotech.ru;liwood.ru;promalper.ru,1,not_planned,,,5,/uborka-snega-s-kryish.html,СЧ,общий,uborka-snega,False,A2
покраска фасада дома цена за м2,280,148,148,4,alpbond.org;formula-v.ru;kronotech.ru;promalper.ru,1,not_planned,,,2,/fasadnye-raboty/pokraska-fasadov,СЧ,коммерческий,,False,A2
герметизация межпанельных швов,887,148,146,4,alpbond.org;fasadrf.ru;formula-v.ru;kronotech.ru,1,not_planned,,,10,/fasadnye-raboty/germetizaciya-mezhpanelnyh-shvov,СЧ,общий,,False,A2
снести дом сколько стоит,1012,148,7,3,demontazhmsk.ru;demonti.ru;kronotech.ru,0,not_planned,,,31,/,СЧ,коммерческий,,False,A2
мойка окон альпинистами,984,142,142,4,alpme.ru;cleaning-moscow.ru;fasadrf.ru;promalper.ru,2,not_planned,,,6,/mojka-okon-i-lodzhij/alpinistami,СЧ,общий,,False,A2
как спилить дерево,11342,140,136,3,arbogarden.ru;lesoruby.com;udalenie-dereviev.moscow,0,not_planned,,,24,/stati/kak-spilit-derevo-na-svoem-uchastke,СЧ,коммерческий,arboristika,False,A2
герметизация швов,9613,138,138,5,alpbond.org;fasadrf.ru;formula-v.ru;kronotech.ru;promtehalp.ru,1,not_planned,,,5,/fasadnye-raboty/germetizaciya-mezhpanelnyh-shvov,СЧ,общий,,False,A2
валка леса,4546,137,137,6,arbogarden.ru;arborist.su;arboristik.ru;drovosek-mo.ru;forest-service.ru;spilservis.ru,2,not_planned,,,5,/valka-derevev,СЧ,общий,,False,A2
покраска фасада,14503,136,136,4,alpbond.org;fasadrf.ru;kronotech.ru;promalper.ru,1,not_planned,,,4,/fasadnye-raboty/pokraska,СЧ,общий,,False,A2
арбористика что это,289,136,136,5,arbogarden.ru;arboristik.ru;rusarbo.ru;treeworkers.ru;udalenie-dereviev.moscow,2,not_planned,,,6,/stati/arboristika,СЧ,общий,arboristika,False,A2
снос домов,118650,136,136,3,demonti.ru;snos24.ru;snosim.com,0,not_planned,,,24,/,СЧ,коммерческий,demontazh-b2c,False,A2
покрасить дом,64624,129,127,3,fasadrf.ru;kronotech.ru;promalper.ru,0,not_planned,,,12,/fasadnye-raboty/pokraska-fasadov,СЧ,общий,,False,A2
ремонт фасада здания,4222,129,129,4,alpbond.org;fasadrf.ru;kronotech.ru;promalper.ru,3,not_planned,,,4,/fasadnye-raboty/remont-fasada,СЧ,общий,,False,A2
межпанельные швы,9262,127,120,4,alpbond.org;fasadrf.ru;kronotech.ru;promalper.ru,1,not_planned,,,5,/fasadnye-raboty/germetizaciya-mezhpanelnyh-shvov,СЧ,общий,,False,A2
арбористы это кто,757,127,9,4,arbogarden.ru;rusarbo.ru;treeworkers.ru;udalenie-dereviev.moscow,1,not_planned,,,7,/poleznye-stati/arborist-kto-eto-i-chem-zanimaetsya,СЧ,общий,arboristika,False,A2
арбористы кто это,757,127,117,5,arbogarden.ru;lesoruby.com;rusarbo.ru;treeworkers.ru;udalenie-dereviev.moscow,2,not_planned,,,6,/poleznye-stati/arborist-kto-eto-i-chem-zanimaetsya,СЧ,общий,arboristika,False,A2
мытье окон сколько стоит,1616,124,27,3,cleaning-moscow.ru;moscleaning24.ru;promalper.ru,0,not_planned,,,11,/vse-uslugi/mojka-okon,СЧ,коммерческий,,False,A2
покраска крыши из металлочерепицы,161,123,123,3,alpbond.org;formula-v.ru;promalper.ru,1,not_planned,,,8,/pokraska-krovli.html,СЧ,общий,,False,A2
герметизация швов в панельном доме,324,118,118,5,alpbond.org;formula-v.ru;kronotech.ru;promalper.ru;promtehalp.ru,1,not_planned,,,5,/uslugi/germetizatsiya-i-gidroizolyatsiya/germetizatsiya-mezhpanelnykh-shvov,СЧ,общий,,False,A2
контейнер под мусор заказать,1261,117,57,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,0,not_planned,,,22,/vyvoz-musora-kontejnerom,СЧ,коммерческий,vyvoz-musora,False,A2
садовый измельчитель в аренду,768,117,62,6,arbogarden.ru;drovosek-mo.ru;lesovod.su;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,1,not_planned,,,7,/services/arenda-izmelchitelya-vetok-i-drevesiny,СЧ,общий,,False,A2
ремонт фасадов,28335,114,114,4,alpbond.org;fasadrf.ru;kronotech.ru;promalper.ru,2,not_planned,,,5,/fasadnye-raboty,СЧ,общий,,False,A2
покраска деревянного дома цена,1299,114,113,3,alpbond.org;fasadrf.ru;kronotech.ru,0,not_planned,,,11,/fasadnye-raboty/pokraska-fasadov,СЧ,коммерческий,arboristika,False,A2
сколько стоит мытье окон,1444,112,90,3,cleaning-moscow.ru;moscleaning24.ru;promalper.ru,2,not_planned,,,6,/vse-uslugi/mojka-okon,СЧ,коммерческий,,False,A2
контейнер заказать,17961,111,29,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,1,not_planned,,,7,/,СЧ,коммерческий,vyvoz-musora,False,A2
порубочный билет как получить,732,111,23,4,arborist.su;lesoruby.com;udalenie-dereviev.moscow;virubka-dereva.ru,1,not_planned,,,8,/services/oformlenie-dokumentatsii/oformlenie-porubochnogo-bileta-v-moskovskoy-oblasti,СЧ,информационный,,False,A2
контейнер для мусора крупногабаритного,1266,110,2,3,mmusor.ru;musor.moscow;stroj-musor.moscow,1,not_planned,,,7,/blog/krupnogabaritnyj-musor,СЧ,общий,vyvoz-musora,False,A2
сколько стоит снести дом на участке,401,108,108,4,demontazhmsk.ru;demonti.ru;kronotech.ru;snos24.ru,0,not_planned,,,14,/snos-dachnykh-domov,СЧ,коммерческий,,False,A2
корчевание,10302,106,106,5,arborist.su;arboristik.ru;lesoruby.com;promalper.ru;udalenie-dereviev.moscow,1,not_planned,,,9,/korchevanie-pney,СЧ,коммерческий,arboristika,False,A2
мойка фасадов зданий цена за м2,117,105,105,6,alpbond.org;cleaning-moscow.ru;fasadrf.ru;formula-v.ru;moscleaning24.ru;promalper.ru,1,not_planned,,,4,/vse-uslugi/uborka-fasadov,СЧ,коммерческий,,False,A2
опиловка,5424,104,104,4,arboristik.ru;drovosek-mo.ru;spilservis.ru;udalenie-dereviev.moscow,1,not_planned,,,10,/vidy-rabot/opilovka-derevev,СЧ,общий,,False,A2
промальп услуги,119,103,67,4,alpbond.org;formula-v.ru;promalper.ru;promtehalp.ru,1,not_planned,,,5,/,СЧ,коммерческий,,False,A2
аренда измельчитель веток,1494,102,19,5,arbogarden.ru;arboristik.ru;drovosek-mo.ru;lesovod.su;udalenie-dereviev.moscow,1,not_planned,,,6,/services/arenda-izmelchitelya-vetok-i-drevesiny,СЧ,общий,,False,A2
садовый измельчитель аренда,1452,101,63,6,arbogarden.ru;drovosek-mo.ru;lesovod.su;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,1,not_planned,,,6,/services/arenda-izmelchitelya-vetok-i-drevesiny,СЧ,общий,,False,A2
ремонт швов межпанельных,2031,97,1,3,fasadrf.ru;formula-v.ru;liwood.ru,1,not_planned,,,10,/fasadnye-raboty/germetizacia-shvov/remont-shvov,НЧ,общий,,False,B
рубка деревьев,23161,96,96,7,arborist.su;arboristik.ru;forest-service.ru;lesoruby.com;lesovod.su;spilservis.ru;udalenie-dereviev.moscow,2,not_planned,,,7,/tsenyi,НЧ,общий,arboristika,False,B
ремонт фасада дома,7252,94,94,3,alpbond.org;fasadrf.ru;promalper.ru,2,not_planned,,,7,/remont-fasadov.html,НЧ,общий,,False,B
демонтаж зданий,9985,94,94,3,demonti.ru;snos24.ru;snosim.com,0,not_planned,,,20,/,НЧ,общий,demontazh-b2c,False,B
мойка фасада,8716,93,93,5,alpbond.org;cleaning-moscow.ru;fasadrf.ru;moscleaning24.ru;promalper.ru,2,not_planned,,,5,/fasadnye-raboty/moika-i-chistka,НЧ,общий,,False,B
покраска кровли из металлочерепицы,93,91,91,3,alpbond.org;formula-v.ru;promalper.ru,0,not_planned,,,16,/pokraska-krovli.html,НЧ,общий,,False,B
мойка фасадов зданий,1311,90,88,4,cleaning-moscow.ru;fasadrf.ru;formula-v.ru;promalper.ru,2,not_planned,,,7,/fasadnye-raboty/moika-i-chistka,НЧ,общий,,False,B
89фз об отходах производства и потребления,111,89,89,3,gsvm.ru;musor.moscow;stroj-musor.moscow,0,not_planned,,,30,/documentation/fz89,НЧ,общий,vyvoz-musora,False,B
окраска деревянного дома снаружи цена работы,88,88,88,3,alpbond.org;fasadrf.ru;promalper.ru,0,not_planned,,,18,/fasadnye-raboty/pokraska/derevo,НЧ,коммерческий,arboristika,False,B
лес сервис,1350,87,47,3,forest-service.ru;lesovod.su;spilservis.ru,0,not_planned,,,32,/,НЧ,общий,,False,B
как правильно пилить дерево,961,87,81,3,arbogarden.ru;lesoruby.com;udalenie-dereviev.moscow,0,not_planned,,,17,/stati/valka-derevev-benzopiloj,НЧ,информационный,arboristika,False,B
короед что такое,931,85,6,3,arbogarden.ru;liwood.ru;virubka-dereva.ru,0,not_planned,,,23,/stati/obrabotka-dereva-ot-koroeda,НЧ,информационный,,False,B
выкорчевывание,2481,85,85,3,rusarbo.ru;spilservis.ru;udalenie-dereviev.moscow,0,not_planned,,,13,/services/udalenie-pney/korchevanie-pnei,НЧ,общий,arboristika,False,B
контейнер для мусора вывоз,9923,84,83,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,0,not_planned,,,14,/,НЧ,коммерческий,vyvoz-musora,False,B
кто такой арборист,159,83,81,4,arbogarden.ru;rusarbo.ru;treeworkers.ru;udalenie-dereviev.moscow,1,not_planned,,,7,/poleznye-stati/arborist-kto-eto-i-chem-zanimaetsya,НЧ,общий,arboristika,False,B
опилка деревьев,4045,82,82,6,arboristik.ru;drovosek-mo.ru;lesovod.su;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,4,not_planned,,,6,/tsenyi,НЧ,общий,arboristika,False,B
опил деревьев,1219,81,81,5,alpbond.org;arboristik.ru;forest-service.ru;lesovod.su;udalenie-dereviev.moscow,2,not_planned,,,6,/vidy-rabot/opilovka-derevev,НЧ,общий,arboristika,False,B
гидрофобизация фасада,320,81,81,3,alpbond.org;formula-v.ru;promalper.ru,1,not_planned,,,9,/gidrofobizaciya-fasadov,НЧ,общий,,False,B
от короеда препараты на деревьях,226,79,78,3,arbogarden.ru;arborist.su;liwood.ru,1,not_planned,,,8,/stati/obrabotka-dereva-ot-koroeda,НЧ,общий,arboristika,False,B
обрезка хвойных деревьев,665,79,79,3,arboristik.ru;liwood.ru;udalenie-dereviev.moscow,0,not_planned,,,16,/services/obrezka-derevev/obrezka-hvojnyh-derevev,НЧ,коммерческий,arboristika,False,B
обрезка деревьев авито,778,75,15,5,arborist.su;arboristik.ru;drovosek-mo.ru;liwood.ru;spilservis.ru,1,not_planned,,,7,/uslugi-sadovnika/obrezka-yablon-i-plodovykh-derevev,НЧ,коммерческий,arboristika,False,B
оссиг это,399,74,74,3,gsvm.ru;musor.moscow;stroj-musor.moscow,2,not_planned,,,6,/vyvoz-ossig,НЧ,общий,,False,B
можно ли на своём участке спиливать деревья,564,74,34,3,arbogarden.ru;liwood.ru;udalenie-dereviev.moscow,0,not_planned,,,27,/stati/spilit-derevo-na-svoem-uchastke,НЧ,коммерческий,arboristika,False,B
опиловка деревьев что это такое,76,74,74,4,arboristik.ru;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,3,not_planned,,,4,/advice/vyrubka/vidy-opilovki-derevev,НЧ,общий,arboristika,False,B
спил деревьев в новосибирске,98,73,73,4,arboristik.ru;drovosek-mo.ru;lesoruby.com;spilservis.ru,0,not_planned,,,24,/price,НЧ,коммерческий,arboristika,False,B
аис оссиг что это,79,72,72,3,gsvm.ru;musor.moscow;stroj-musor.moscow,2,not_planned,,,4,/news/ais-ossig-chto-eto-znachit-i-zachem-sushhestvuet,НЧ,общий,,False,B
сколько стоит покрасить дом,1399,72,70,3,alpbond.org;fasadrf.ru;promalper.ru,0,not_planned,,,26,/fasadnye-raboty/pokraska/derevo,НЧ,коммерческий,,False,B
порубочные остатки это,260,70,70,5,arborist.su;arboristik.ru;drovosek-mo.ru;liwood.ru;stroj-musor.moscow,1,not_planned,,,10,/services/udalenie-derevev/raschistka-ot-porubochnykh-ostatkov,НЧ,общий,,False,B
камаз вывоз мусора,830,70,23,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,0,not_planned,,,15,/park-spectehniki/vyvoz-musora-kamaz,НЧ,коммерческий,vyvoz-musora,False,B
корчевка деревьев,624,70,70,3,arboristik.ru;forest-service.ru;spilservis.ru,2,not_planned,,,7,/services/udalenie-pney/korchevanie-pnei,НЧ,коммерческий,arboristika,False,B
услуги промышленных альпинистов,455,69,69,5,alpbond.org;fasadrf.ru;formula-v.ru;promalper.ru;promtehalp.ru,0,not_planned,,,18,/,НЧ,коммерческий,,False,B
тбо вывоз мусора,1113,68,12,3,mmusor.ru;musor.moscow;stroj-musor.moscow,1,not_planned,,,4,/service,НЧ,коммерческий,vyvoz-musora,False,B
демонтаж здания,9985,68,68,3,demonti.ru;snos24.ru;snosim.com,0,not_planned,,,12,/price,НЧ,общий,demontazh-b2c,False,B
обрезка хвойных,1475,67,67,3,drovosek-mo.ru;liwood.ru;udalenie-dereviev.moscow,0,not_planned,,,18,/services/obrezka-derevev/obrezka-hvojnyh-derevev,НЧ,коммерческий,,False,B
выкорчевывание деревьев,1059,65,65,5,arbogarden.ru;arboristik.ru;forest-service.ru;rusarbo.ru;spilservis.ru,0,not_planned,,,11,/services/udalenie-dereviev/vykorchevyvanie-derevev,НЧ,общий,arboristika,False,B
спиленные деревья,20866,65,64,6,arbogarden.ru;arboristik.ru;drovosek-mo.ru;forest-service.ru;lesovod.su;udalenie-dereviev.moscow,2,not_planned,,,6,/,НЧ,коммерческий,arboristika,False,B
порубочный билет кто выдает,291,64,14,3,arborist.su;udalenie-dereviev.moscow;virubka-dereva.ru,2,not_planned,,,8,/services/oformlenie-dokumentatsii/oformlenie-porubochnogo-bileta-v-moskovskoy-oblasti,НЧ,общий,,False,B
мытье фасадов,4606,63,63,4,alpbond.org;fasadrf.ru;formula-v.ru;moscleaning24.ru,0,not_planned,,,17,/fasadnye-raboty/moika-i-chistka,НЧ,общий,,False,B
выкорчёвывание пней,742,62,62,3,arboristik.ru;drovosek-mo.ru;udalenie-dereviev.moscow,0,not_planned,,,14,/korchevanie-pney,НЧ,общий,,False,B
прокат измельчителя веток,789,62,62,7,arbogarden.ru;arboristik.ru;drovosek-mo.ru;lesovod.su;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,1,not_planned,,,7,/services/arenda-izmelchitelya-vetok-i-drevesiny,НЧ,общий,,False,B
порубочные остатки деревьев это,80,60,60,3,arboristik.ru;stroj-musor.moscow;virubka-dereva.ru,1,not_planned,,,8,/vyivoz-porubochnyih-ostatkov,НЧ,общий,arboristika,False,B
размеры пухто,265,58,24,3,mmusor.ru;musor.moscow;stroj-musor.moscow,0,not_planned,,,27,/vyvoz-musora-puhto,НЧ,общий,,False,B
вывоз мусорных контейнеров,1484,58,58,3,mmusor.ru;musor.moscow;stroj-musor.moscow,0,not_planned,,,11,/,НЧ,коммерческий,vyvoz-musora,False,B
пухто 27 кубов,368,57,42,3,mmusor.ru;musor.moscow;stroj-musor.moscow,0,not_planned,,,14,/puhto-dlja-vyvoza-musora,НЧ,общий,,False,B
ремонт швов в панельных домах,393,57,57,3,fasadrf.ru;promalper.ru;promtehalp.ru,1,not_planned,,,6,/germetizacziya-mezhpanelnyix-shvov.html,НЧ,общий,,False,B
дробилка для веток аренда,434,57,56,5,arbogarden.ru;arboristik.ru;drovosek-mo.ru;spilservis.ru;udalenie-dereviev.moscow,1,not_planned,,,8,/vidy-rabot/arenda-izmelchitelya-vetok,НЧ,общий,arboristika,False,B
расценка в смете валка деревьев,153,57,0,4,arbogarden.ru;arboristik.ru;drovosek-mo.ru;udalenie-dereviev.moscow,1,not_planned,,,9,/Smeta-na-vyrybky.pdf,НЧ,коммерческий,arboristika,False,B
контейнер 27 кубов для мусора,179,56,43,4,gsvm.ru;mmusor.ru;musor.moscow;stroj-musor.moscow,1,not_planned,,,10,/arenda-musornogo-kontejnera-27-m3,НЧ,общий,vyvoz-musora,False,B
контейнер для мусора 27 кубов,179,56,13,3,mmusor.ru;musor.moscow;stroj-musor.moscow,1,not_planned,,,10,/containers/27-m3-do-15-tonn,НЧ,общий,vyvoz-musora,False,B
вывоз мусора строительного контейнер,1969,56,2,3,mmusor.ru;musor.moscow;stroj-musor.moscow,0,not_planned,,,12,/kontejner-dlja-musora,НЧ,коммерческий,vyvoz-musora,False,B
как спилить дерево бензопилой правильно,381,56,11,3,arbogarden.ru;lesoruby.com;liwood.ru,0,not_planned,,,11,/stati/valka-derevev-benzopiloj,НЧ,коммерческий,arboristika,False,B
как правильно спилить дерево бензопилой,381,56,43,3,arbogarden.ru;lesoruby.com;liwood.ru,0,not_planned,,,15,/stati/valka-derevev-benzopiloj,НЧ,коммерческий,arboristika,False,B
обрезка березы,807,56,56,3,arboristik.ru;lesoruby.com;spilservis.ru,1,not_planned,,,5,/blog/kak-pravilno-obrezat-berezu-i-formirovat-kronu,НЧ,коммерческий,,False,B
арбористика это,364,56,56,5,arbogarden.ru;lesoruby.com;rusarbo.ru;treeworkers.ru;udalenie-dereviev.moscow,1,not_planned,,,8,/stati/arboristika,НЧ,общий,arboristika,False,B
порубочный билет что это,323,55,55,4,arborist.su;liwood.ru;udalenie-dereviev.moscow;virubka-dereva.ru,0,not_planned,,,12,/advice/zakony/oformlenie-porubochnogo-bileta,НЧ,общий,,False,B
спилить дерево сколько стоит,628,54,0,14,alpbond.org;arbogarden.ru;arborist.su;arboristik.ru;demonti.ru;drovosek-mo.ru;forest-service.ru;lesoruby.com;lesovod.su;liwood.ru;rusarbo.ru;spilservis.ru;udalenie-dereviev.moscow;virubka-dereva.ru,5,not_planned,,,3,/tsenyi,НЧ,коммерческий,arboristika,False,B
спиливание деревьев,2260,54,54,8,arborist.su;arboristik.ru;forest-service.ru;lesoruby.com;lesovod.su;rusarbo.ru;spilservis.ru;virubka-dereva.ru,1,not_planned,,,8,/tsenyi,НЧ,коммерческий,arboristika,False,B
снежный полигон,1269,53,50,3,liwood.ru;musor.moscow;stroj-musor.moscow,1,not_planned,,,8,/info/articles/kuda-vyvozyat-sneg-iz-goroda,НЧ,общий,,False,B
когда можно обрезать березу,223,53,50,3,drovosek-mo.ru;lesoruby.com;spilservis.ru,1,not_planned,,,7,/blog/kak-pravilno-obrezat-berezu-i-formirovat-kronu,НЧ,коммерческий,,False,B
сколько стоит разобрать дом,4891,53,46,4,demontazhmsk.ru;demonti.ru;snos24.ru;snosim.com,1,not_planned,,,10,/price,НЧ,коммерческий,,False,B
плотность отходов,5713,52,52,3,gsvm.ru;musor.moscow;stroj-musor.moscow,0,not_planned,,,13,/blog/ves-stroitelnogo-musora,НЧ,общий,vyvoz-musora,False,B
мойка окон на высоте,448,52,52,4,alpbond.org;cleaning-moscow.ru;fasadrf.ru;promalper.ru,2,not_planned,,,7,/mojka-okon-i-lodzhij/vysotnaya,НЧ,общий,,False,B
дробилка для веток в аренду,198,52,50,6,arbogarden.ru;arboristik.ru;lesovod.su;liwood.ru;spilservis.ru;virubka-dereva.ru,2,not_planned,,,7,/uslugi/arenda-izmelchitelya-vetok,НЧ,общий,arboristika,False,B
расчистка территории,3186,52,52,4,arboristik.ru;drovosek-mo.ru;lesovod.su;rusarbo.ru,0,not_planned,,,11,/raschistka-uchastka-ot-porosli-i-derevev,НЧ,общий,,False,B
оссиг что такое,172,51,18,3,gsvm.ru;musor.moscow;stroj-musor.moscow,2,not_planned,,,6,/stati/ossig,НЧ,информационный,,False,B
стоимость вывоза мусора,6409,51,51,4,gsvm.ru;mmusor.ru;musor.moscow;stroj-musor.moscow,1,not_planned,,,3,/,НЧ,коммерческий,vyvoz-musora,False,B
аварийные деревья,4094,51,51,6,arbogarden.ru;arboristik.ru;lesoruby.com;liwood.ru;rusarbo.ru;udalenie-dereviev.moscow,2,not_planned,,,4,/stati/kak-opredelit-avarijnoe-derevo,НЧ,общий,arboristika,False,B
когда можно обрезать сосну,395,51,48,3,drovosek-mo.ru;liwood.ru;udalenie-dereviev.moscow,1,not_planned,,,1,/poleznye-stati/obrezka-sosny,НЧ,коммерческий,,False,B
арбористика что это такое,148,51,51,4,arbogarden.ru;lesoruby.com;rusarbo.ru;udalenie-dereviev.moscow,1,not_planned,,,7,/stati/arboristika,НЧ,общий,arboristika,False,B
