keyword,ws,wsk,superwsk,domains_count,domains_list,domains_top10_count,our_status,our_intent,our_cluster,min_competitor_pos,top_competitor_url,tier_freq,intent_marker,cluster_hint,multi_cluster
сколько в соток в гектаре,12070,3225,1,1,kronotech.ru,0,not_planned,,,31,/publications/skolko-m2-v-sotke,СЧ,информационный,,False
посчитать площадь как,53166,3190,3,1,kronotech.ru,0,not_planned,,,31,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,информационный,,False
обрезка груши весной,11516,3176,3134,1,liwood.ru,0,not_planned,,,17,/info/articles/obrezka-molodoy-grushi-vesnoy,ВЧ,коммерческий,,False
вывоз мусора строительного,26349,3151,194,3,mmusor.ru;musor.moscow;stroj-musor.moscow,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:2,11,/,СЧ,коммерческий,vyvoz-musora,False
вывоз строительного мусора,26349,3151,2956,3,gsvm.ru;musor.moscow;stroj-musor.moscow,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:17,12,/,ВЧ,коммерческий,vyvoz-musora,False
услуги по вывозу мусора,5039,3088,3088,3,gsvm.ru;mmusor.ru;stroj-musor.moscow,2,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:105,1,/service,ВЧ,коммерческий,vyvoz-musora,False
как площадь посчитать,52861,3059,80,1,kronotech.ru,0,not_planned,,,44,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,информационный,,False
жук короед,13466,3045,1452,1,arbogarden.ru,0,not_planned,,,20,/stati/obrabotka-dereva-ot-koroeda,СЧ,общий,,False
размеры кирпич,100088,3027,35,1,kronotech.ru,1,not_planned,,,10,/publications/razmery-kirpicha,СЧ,общий,,False
минвата,95457,2968,2968,1,kronotech.ru,0,not_planned,,,42,/publications/kakaya-mineralnaya-vata,ВЧ,общий,,False
чистка снега с крыши,66672,2946,2945,3,alpbond.org;formula-v.ru;liwood.ru,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:1,12,/sbros-snega-s-krysh,ВЧ,общий,uborka-snega,False
минеральная вата,71434,2921,2746,1,kronotech.ru,0,not_planned,,,42,/publications/kakaya-mineralnaya-vata,ВЧ,общий,,False
обработка сада ранней весной,29528,2916,2836,1,liwood.ru,0,not_planned,,,33,/info/articles/opryskivanie-plodovykh-derevev-vesnoy,ВЧ,общий,,False
смарт мос ру,3361,2842,2840,1,stroj-musor.moscow,0,not_planned,,,12,/stati/ossig,ВЧ,общий,,False
кирпич размеры,95114,2834,2802,1,kronotech.ru,0,not_planned,,,14,/publications/razmery-kirpicha,ВЧ,общий,,False
10 10 сколько соток,12993,2695,1,1,kronotech.ru,0,not_planned,,,30,/publications/skolko-m2-v-sotke,СЧ,информационный,,False
сколько в сотке метров квадратных,14727,2693,201,1,kronotech.ru,0,not_planned,,,14,/publications/skolko-m2-v-sotke,СЧ,информационный,,False
сколько в сотке квадратных метров,14727,2693,773,1,kronotech.ru,0,not_planned,,,18,/publications/skolko-m2-v-sotke,СЧ,информационный,,False
сколько метров в сотке квадратных,14727,2693,7,1,kronotech.ru,0,not_planned,,,16,/publications/skolko-m2-v-sotke,СЧ,информационный,,False
сколько метров квадратных в сотке,14727,2693,132,1,kronotech.ru,0,not_planned,,,14,/publications/skolko-m2-v-sotke,СЧ,информационный,,False
телевизор старый,84525,2646,285,1,musor.moscow,0,not_planned,,,35,/blog/utilizacija-televizorov,СЧ,общий,,False
старый телевизор,85488,2638,2338,1,musor.moscow,0,not_planned,,,32,/blog/utilizacija-televizorov,ВЧ,общий,,False
метры квадратные как посчитать,20927,2634,30,1,kronotech.ru,0,not_planned,,,14,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,информационный,,False
тко расшифровка,5385,2631,2544,1,stroj-musor.moscow,0,not_planned,,,29,/stati/tko,ВЧ,общий,vyvoz-musora,False
снип 12 03 2001,10138,2597,2595,1,umisky.ru,0,not_planned,,,34,/about/docs/41,ВЧ,общий,,False
квадратные метры как посчитать,20716,2590,104,1,kronotech.ru,0,not_planned,,,23,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,информационный,,False
весной чем обработать сад,38042,2586,37,1,liwood.ru,0,not_planned,,,28,/info/articles/opryskivanie-plodovykh-derevev-vesnoy,СЧ,информационный,,False
как квадратные метры посчитать,20589,2564,2,1,kronotech.ru,0,not_planned,,,24,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,информационный,,False
как посчитать метры квадратные,20589,2564,231,1,kronotech.ru,0,not_planned,,,24,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,информационный,,False
как посчитать квадратные метры,20589,2564,2199,1,kronotech.ru,0,not_planned,,,22,/publications/poschitat-kolichestvo-kvadratnyh-metrov,ВЧ,информационный,,False
сколько сантиметров квадратных в 1 метре квадратном,4730,2527,81,1,kronotech.ru,0,not_planned,,,40,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,информационный,,False
несъемная опалубка,23255,2511,2443,1,kronotech.ru,0,not_planned,,,35,/publications/ustroystvo-nesemnoi-opalubki,ВЧ,общий,,False
сколько будет 3 2 2,365308,2491,13,1,kronotech.ru,0,not_planned,,,45,/publications/skolko-m2-v-sotke,СЧ,информационный,,False
точка росы это,8798,2488,2487,1,kronotech.ru,0,not_planned,,,14,/publications/chto-takoe-tochka-rosy,ВЧ,общий,,False
работы на высоте,613857,2426,2425,1,umisky.ru,0,not_planned,,,41,/about/docs/797,ВЧ,общий,,False
стандарт размер кирпича,6835,2383,3,1,kronotech.ru,1,not_planned,,,10,/publications/razmery-kirpicha,СЧ,общий,,False
работа на высоте,613861,2363,2361,1,umisky.ru,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:61,40,/about/docs/797,ВЧ,общий,,False
обращение с тко,40691,2327,2327,1,stroj-musor.moscow,0,not_planned,,,32,/stati/tko-v-kvitancii,ВЧ,общий,vyvoz-musora,False
чистка снега,209053,2318,2311,2,liwood.ru;promalper.ru,1,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:1,9,/services/uborka-territorii/uborka-snega-vruchnuyu,ВЧ,общий,uborka-snega,False
уборка генеральная,92233,2313,22,1,moscleaning24.ru,0,not_planned,,,15,/uborka-kvartir/generalnaya,СЧ,общий,,False
как обрезать яблоню весной,21578,2309,2078,1,liwood.ru,0,not_planned,,,19,/info/articles/obrezka-yablon-vesnoy,ВЧ,коммерческий,,False
услуги клининга,11114,2308,2308,2,cleaning-moscow.ru;moscleaning24.ru,0,not_planned,,,18,/,ВЧ,коммерческий,,False
метры квадратные,1323952,2254,882,1,kronotech.ru,0,not_planned,,,32,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,общий,,False
тбо,106790,2245,2245,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,17,/blog/chto-takoe-tbo,ВЧ,общий,vyvoz-musora,False
фэо фгуп,7217,2227,143,1,musor.moscow,0,not_planned,,,21,/blog/fjeo,СЧ,общий,,False
фгуп фэо,7217,2227,2083,1,musor.moscow,0,not_planned,,,27,/blog/fjeo,ВЧ,общий,,False
какие работы относятся к работам на высоте,12170,2221,2219,1,umisky.ru,0,not_planned,,,34,/about/docs/797,ВЧ,информационный,,False
обращение с тко это что,7771,2219,185,2,musor.moscow;stroj-musor.moscow,0,not_planned,,,21,/stati/tko-v-kvitancii,СЧ,общий,vyvoz-musora,False
обращение с тко что это,7771,2219,2029,1,stroj-musor.moscow,0,not_planned,,,25,/stati/tko-v-kvitancii,ВЧ,общий,vyvoz-musora,False
уборка снега с крыши,110776,2190,2183,6,alpbond.org;cleaning-moscow.ru;fasadrf.ru;kronotech.ru;liwood.ru;promalper.ru,1,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:1,10,/uborka-snega-s-kryish.html,ВЧ,общий,uborka-snega,False
почистить утюг как,22110,2168,0,1,cleaning-moscow.ru,0,not_planned,,,41,/5-sovetov-kak-operativno-pochistit-utyug,ВЧ,коммерческий,,False
химчистка мебели,27653,2159,2156,1,moscleaning24.ru,1,not_planned,,,10,/himchistka/myagkoj-mebeli,ВЧ,общий,,False
термопанели для наружной отделки,23740,2157,2157,1,kronotech.ru,0,not_planned,,,37,/publications/otdelka-doma-termopanelyami,ВЧ,общий,,False
как обрезать яблоню,38687,2122,2106,1,liwood.ru,0,not_planned,,,33,/info/articles/obrezka-yablon-vesnoy,ВЧ,коммерческий,,False
мойка окон,67379,2119,2119,1,moscleaning24.ru,1,not_planned,,,6,/vse-uslugi/mojka-okon,ВЧ,общий,,False
мокрый фасад,23490,2110,2097,1,kronotech.ru,1,not_planned,,,1,/fasadnye-raboty/mokryy-fasad,ВЧ,общий,,False
клининг москва,16606,2109,2067,2,cleaning-moscow.ru;moscleaning24.ru,1,not_planned,,,2,/,ВЧ,локальный,,False
сколько гектар соток,37428,2094,12,1,kronotech.ru,0,not_planned,,,29,/publications/skolko-m2-v-sotke,СЧ,информационный,,False
рэо,77751,2068,2068,1,musor.moscow,1,not_planned,,,9,/blog/rjeo,ВЧ,общий,,False
сколько 1 га соток,6626,2050,8,1,kronotech.ru,0,not_planned,,,42,/publications/skolko-m2-v-sotke,СЧ,информационный,,False
свалка,235954,2026,2026,1,musor.moscow,0,not_planned,,,32,/blog/likvidacija-svalok,ВЧ,общий,,False
размеры кирпича стандартного,8404,2012,1668,1,kronotech.ru,1,not_planned,,,8,/publications/razmery-kirpicha,ВЧ,общий,,False
размеры стандартного кирпича,8404,2012,343,1,kronotech.ru,1,not_planned,,,7,/publications/razmery-kirpicha,СЧ,общий,,False
снегоплавильная установка,8314,1999,1997,1,musor.moscow,0,not_planned,,,43,/blog/snegoplavilnyj-punkt,ВЧ,общий,uborka-snega,False
химчистка на дому,12159,1981,1979,1,moscleaning24.ru,1,not_planned,,,1,/himchistka,ВЧ,общий,,False
точка росы что такое,5360,1974,26,1,kronotech.ru,0,not_planned,,,12,/publications/chto-takoe-tochka-rosy,СЧ,информационный,,False
обрезка сливы весной,6359,1948,1925,1,liwood.ru,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:6,24,/info/articles/kak-sdelat-obrezku-slivy,ВЧ,коммерческий,,False
рэо ппк,6899,1946,63,1,musor.moscow,0,not_planned,,,20,/blog/rjeo,СЧ,общий,,False
сколько это сотка земли в метрах,6299,1945,23,1,kronotech.ru,0,not_planned,,,15,/publications/skolko-m2-v-sotke,СЧ,информационный,,False
как обрезать яблоню правильно,14676,1932,11,1,liwood.ru,0,not_planned,,,32,/info/articles/obrezka-yablon-vesnoy,СЧ,коммерческий,,False
как правильно обрезать яблоню,14676,1932,1887,1,liwood.ru,0,not_planned,,,36,/info/articles/obrezka-yablon-vesnoy,ВЧ,коммерческий,,False
как обрезать правильно яблоню,14676,1932,30,1,liwood.ru,0,not_planned,,,30,/info/articles/obrezka-yablon-vesnoy,СЧ,коммерческий,,False
что такое точка росы,5245,1913,1888,1,kronotech.ru,0,not_planned,,,15,/publications/chto-takoe-tochka-rosy,ВЧ,информационный,,False
сотка это сколько м2,7155,1912,1911,1,kronotech.ru,1,not_planned,,,9,/publications/skolko-m2-v-sotke,ВЧ,информационный,,False
сотка сколько это м2,7155,1912,0,1,kronotech.ru,0,not_planned,,,12,/publications/skolko-m2-v-sotke,ВЧ,информационный,,False
сколько соток в га 1,3023,1884,4,1,kronotech.ru,0,not_planned,,,42,/publications/skolko-m2-v-sotke,СЧ,информационный,,False
сколько в 1 га соток,3023,1884,273,1,kronotech.ru,0,not_planned,,,42,/publications/skolko-m2-v-sotke,СЧ,информационный,,False
сколько это сотка земли,19931,1881,16,1,kronotech.ru,0,not_planned,,,15,/publications/skolko-m2-v-sotke,СЧ,информационный,,False
покос травы,42487,1867,1867,1,liwood.ru,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:23,22,/services/uborka-territorii/pokos-travy,ВЧ,общий,,False
размер кирпича красного,15520,1824,677,1,kronotech.ru,0,not_planned,,,13,/publications/razmery-kirpicha,СЧ,общий,,False
размер красного кирпича,15520,1824,1146,1,kronotech.ru,0,not_planned,,,11,/publications/razmery-kirpicha,ВЧ,общий,,False
кровельные работы,37447,1815,1796,1,kronotech.ru,0,not_planned,,,42,/publications/krovelnye-raboty-montazh,ВЧ,общий,,False
дома фасад,160613,1799,2,2,fasadrf.ru;kronotech.ru,0,not_planned,,,18,/publications/otdelka-fasada-chastnogo-doma,СЧ,общий,,False
ппк рэо,6290,1797,1736,1,musor.moscow,0,not_planned,,,19,/blog/rjeo,ВЧ,общий,,False
плита цементно стружечная,9038,1797,110,1,kronotech.ru,0,not_planned,,,37,/publications/csp-plity-osobennosti,СЧ,общий,,False
груши обрезка,24498,1790,6,1,liwood.ru,0,not_planned,,,17,/info/articles/obrezka-vzrosloy-grushi,СЧ,коммерческий,,False
сколько соток в одном гектаре,2441,1762,680,1,kronotech.ru,0,not_planned,,,34,/publications/skolko-m2-v-sotke,СЧ,информационный,,False
кв м,893780,1752,1433,1,kronotech.ru,0,not_planned,,,28,/publications/poschitat-kolichestvo-kvadratnyh-metrov,ВЧ,общий,,False
площадь как посчитать комнаты,6456,1726,12,1,kronotech.ru,0,not_planned,,,35,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,информационный,,False
площадь комнаты как посчитать,6456,1726,117,1,kronotech.ru,0,not_planned,,,33,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,информационный,,False
деревьев виды,128403,1726,0,1,rusarbo.ru,0,not_planned,,,42,/klassifikatsiya-derevev,ВЧ,общий,arboristika,False
посчитать площадь комнаты как,6321,1724,1,1,kronotech.ru,0,not_planned,,,27,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,информационный,,False
м кв,894003,1722,302,1,kronotech.ru,0,not_planned,,,29,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,общий,,False
фэо,19015,1721,1721,1,musor.moscow,0,not_planned,,,16,/blog/fjeo,ВЧ,общий,,False
вентилируемый фасад,32591,1704,1655,1,kronotech.ru,0,not_planned,,,21,/fasadnye-raboty/ventiliruemyy-fasad,ВЧ,общий,,False
мусора,1905721,1680,1680,1,musor.moscow,0,not_planned,,,33,/,ВЧ,общий,vyvoz-musora,False
кгм,206527,1678,1678,3,mmusor.ru;musor.moscow;stroj-musor.moscow,1,not_planned,,,10,/blog/krupnogabaritnyj-musor,ВЧ,общий,vyvoz-musora,False
пятно,2784913,1667,1667,1,moscleaning24.ru,0,not_planned,,,27,/information/pyatna-i-ikh-raspoznavaniye,ВЧ,общий,,False
оати,10844,1665,1665,1,kronotech.ru,0,not_planned,,,30,/proektirovanie/oformlenie-ordera-oati,ВЧ,общий,,False
лесной кодекс рф,8430,1658,1658,1,arborist.su,0,not_planned,,,20,/upload/iblock/1dd/6g95igokekhq6o42c982lxnnslwk5m6l.pdf,ВЧ,общий,,False
цоколь это,31838,1657,1657,1,kronotech.ru,0,not_planned,,,12,/publications/otdelka-cokolya-doma,ВЧ,общий,,False
как площадь посчитать комнаты,6606,1653,7,1,kronotech.ru,0,not_planned,,,24,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,информационный,,False
как площадь комнаты посчитать,6606,1653,9,1,kronotech.ru,0,not_planned,,,34,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,информационный,,False
снип 12 03 2001 статус,3338,1648,1610,1,umisky.ru,0,not_planned,,,35,/about/docs/41,ВЧ,общий,,False
статус снип 12 03 2001,3338,1648,38,1,umisky.ru,0,not_planned,,,41,/about/docs/41,СЧ,общий,,False
1 га соток сколько,4972,1625,6,1,kronotech.ru,0,not_planned,,,38,/publications/skolko-m2-v-sotke,СЧ,информационный,,False
обрезка деревьев,104125,1600,1600,2,drovosek-mo.ru;liwood.ru,0,planned,общий,localFALLBACK-WITHFREQ-20260425T151607Z:6,30,/obrezka-derevev-v-moskovskoi-oblasti,ВЧ,коммерческий,arboristika,False
утеплитель для стен дома внутри,5632,1583,30,1,kronotech.ru,0,not_planned,,,18,/publications/uteplenie-sten-doma-iznutri,СЧ,общий,,False
утеплитель стен для дома внутри,5632,1583,46,1,kronotech.ru,0,not_planned,,,14,/publications/uteplenie-sten-doma-iznutri,СЧ,общий,,False
утеплитель внутри дома для стен,5632,1583,28,1,kronotech.ru,0,not_planned,,,18,/publications/uteplenie-sten-doma-iznutri,СЧ,общий,,False
утеплитель для стен внутри дома,5632,1583,1441,1,kronotech.ru,0,not_planned,,,31,/publications/uteplenie-sten-doma-iznutri,ВЧ,общий,,False
керамзитобетон,17424,1582,1582,1,kronotech.ru,0,not_planned,,,37,/publications/doma-iz-keramzitobetona,ВЧ,общий,,False
сколько это квадратный метр,81798,1576,26,1,kronotech.ru,0,not_planned,,,22,/publications/poschitat-kolichestvo-kvadratnyh-metrov,СЧ,информационный,,False
сколько метров 1 сотка,11478,1574,80,1,kronotech.ru,0,not_planned,,,16,/publications/skolko-m2-v-sotke,СЧ,информационный,,False
построить дом как,132795,1573,1,1,kronotech.ru,0,not_planned,,,34,/publications/kak-postroit-nedorogoy-dom,СЧ,информационный,,False
