key	grp1	grp2	grp3	grp4	частот. WordStat	"частот. WordStat"	"!частот. !WordStat"	mord	tema
вывоз мусора контейнер 27 кубов сколько стоит	4	4	4	4	0	0	0	0	
вывоз мусора контейнер 8 кубов	4	4	4	4	0	0	0	0	
вывоз мусора контейнер 8 кубов цена	4	4	4	4	0	0	0	0	
вывоз мусора контейнер 8 м3 москва	4	4	4	4	0	0	0	0	
вывоз мусора контейнер москва	4	4	4	4	0	0	0	0	
вывоз мусора контейнер москва недорого	4	4	4	4	0	0	0	0	
вывоз мусора контейнерами	4	4	4	4	0	0	0	0	
вывоз мусора контейнером	4	4	4	4	11991	648	198	0	
вывоз мусора контейнером 20м3	4	4	4	4	0	0	0	0	
вывоз мусора контейнером 8 м3	4	4	4	4	0	0	0	0	
вывоз мусора контейнером 8м3	4	4	4	4	0	0	0	0	
вывоз мусора контейнером цена	4	4	4	4	0	0	0	0	
вывоз мусора красногорск контейнер	4	4	4	4	0	0	0	0	
вывоз мусора москва контейнер	4	4	4	4	0	0	0	0	
вывоз мусора москва контейнер 8 м3	4	4	4	4	0	0	0	0	
вывоз мусора москва контейнер 8 м3 цена	4	4	4	4	0	0	0	0	
вывоз мусора одинцово контейнер	4	4	4	4	0	0	0	0	
вывоз мусора одинцово контейнер 8 м3 цена	4	4	4	4	0	0	0	0	
вывоз мусора одинцово недорого контейнер	4	4	4	4	0	0	0	0	
вывоз мусора подольск контейнер 8 кубов	4	4	4	4	0	0	0	0	
вывоз мусора цена за контейнер	4	4	4	4	0	0	0	0	
вывоз строительного мусора контейнером	4	4	4	4	0	0	0	0	
вывоз строительного мусора москва контейнер	4	4	4	4	0	0	0	0	
заказ контейнера для вывоза мусора	4	4	4	4	0	0	0	0	
заказ строительного контейнера для вывоза мусора	4	4	4	4	0	0	0	0	
заказать контейнер для вывоза мусора	4	4	4	4	0	0	0	0	
заказать контейнер для мусора	4	4	4	4	0	0	0	0	
заказать контейнер для мусора в москве	4	4	4	4	0	0	0	0	
заказать контейнер под мусор	4	4	4	4	0	0	0	0	
заказать мусорный контейнер	4	4	4	4	0	0	0	0	
контейнер 20 кубов для мусора	4	4	4	4	0	0	0	0	
контейнер 8 кубов вывоз мусора	4	4	4	4	0	0	0	0	
контейнер 8 кубов для мусора	4	4	4	4	0	0	0	0	
контейнер 8 кубов для мусора купить	4	4	4	4	0	0	0	0	
контейнер 8м3 для мусора	4	4	4	4	0	0	0	0	
контейнер вывоз мусора	4	4	4	4	0	0	0	0	
контейнер вывоз мусора 8 кубов	4	4	4	4	0	0	0	0	
контейнер вывоз мусора москва	4	4	4	4	0	0	0	0	
контейнер для вывоза мусора	4	4	4	4	0	0	0	0	
контейнер для вывоза мусора заказать	4	4	4	4	0	0	0	0	
контейнер для вывоза мусора заказать в москве	4	4	4	4	0	0	0	0	
контейнер для крупногабаритного мусора	4	4	4	4	0	0	0	0	
контейнер для мусора 8 кубов	4	4	4	4	0	0	0	0	
контейнер для мусора 8м3	4	4	4	4	0	0	0	0	
контейнер для мусора аренда	4	4	4	4	0	0	0	0	
контейнер для мусора заказать	4	4	4	4	0	0	0	0	
контейнер для мусора заказать в москве	4	4	4	4	0	0	0	0	
контейнер для мусора строительного	4	4	4	4	0	0	0	0	
контейнер для строительного мусора	4	4	4	4	0	0	0	0	
контейнер мусора вывоз	4	4	4	4	0	0	0	0	
контейнер мусорный 8 кубов	4	4	4	4	0	0	0	0	
контейнер мусорный 8 кубов купить	4	4	4	4	0	0	0	0	
контейнер мусорный 8 м3	4	4	4	4	0	0	0	0	
контейнер мусорный заказать	4	4	4	4	0	0	0	0	
контейнер мусорный цена	4	4	4	4	0	0	0	0	
контейнер на 8 кубов на вывоз мусора	4	4	4	4	0	0	0	0	
контейнер под мусор 8м3 вывоз цена	4	4	4	4	0	0	0	0	
контейнер под строительный мусор	4	4	4	4	0	0	0	0	
контейнеры для крупногабаритного мусора в москве на карте	4	4	4	4	0	0	0	0	
купить контейнер 8 кубов для мусора	4	4	4	4	0	0	0	0	
купить контейнер для мусора 8 кубов	4	4	4	4	0	0	0	0	
можно ли выбрасывать строительный мусор в контейнер у дома по закону	4	4	4	4	0	0	0	0	
мусорный контейнер 8 кубов	4	4	4	4	0	0	0	0	
мусорный контейнер 8 кубов купить	4	4	4	4	0	0	0	0	
мусорный контейнер 8 м3	4	4	4	4	0	0	0	0	
мусорный контейнер 8 м3 заказать	4	4	4	4	0	0	0	0	
мусорный контейнер вывоз мусора	4	4	4	4	0	0	0	0	
мусорный контейнер заказать	4	4	4	4	0	0	0	0	
объем контейнера для мусора стандарт м3	4	4	4	4	0	0	0	0	
объем мусорного контейнера	4	4	4	4	0	0	0	0	
сколько мусорных контейнеров в белобоге	4	4	4	4	0	0	0	0	
сколько стоит вывоз мусора в подмосковье контейнер	4	4	4	4	0	0	0	0	
штраф за выброс строительного мусора в контейнер возле дома	4	4	4	4	0	0	0	0	
авито спил деревьев цена	5	5	5	5	6	3	3	0	/Дом/Квартира и дача/Ландшафтный дизайн
безопасный спил дерева	5	5	5	5	1	0	0	0	
заявление на спил дерева на кладбище в администрацию образец	5	5	5	5	0	0	0	0	
как убрать пенек спиленного дерева	5	5	5	5	0	0	0	0	
как удалить пень от спиленного дерева без выкорчевки быстро с помощью селитры	5	5	5	5	0	0	0	0	
как уничтожить пенек от спиленного дерева без выкорчевки	5	5	5	5	0	0	0	0	
как уничтожить пень от спиленного дерева	5	5	5	5	0	0	0	0	
как уничтожить пень от спиленного дерева без выкорчевки	5	5	5	5	0	0	0	0	
как уничтожить пень от спиленного дерева без выкорчевки быстро	5	5	5	5	0	0	0	0	
как уничтожить пень от спиленного дерева без выкорчевки быстро и легко	5	5	5	5	0	0	0	0	
кто отвечает за спил деревьев на кладбище	5	5	5	5	0	0	0	0	
сколько стоит спилить дерево	5	5	5	5	0	0	0	0	
спил больших деревьев	5	5	5	5	82	4	1	0	
спил веток деревьев цена	5	5	5	5	0	0	0	0	
спил высоких деревьев	5	5	5	5	16	0	0	0	
спил дерева	5	5	5	5	11228	615	98	0	
спил дерева вектор	5	5	5	5	0	0	0	0	
спил дерева как называется	5	5	5	5	0	0	0	0	
спил дерева купить	5	5	5	5	0	0	0	0	
спил дерева на даче	5	5	5	5	41	2	1	0	
спил дерева на кладбище	5	5	5	5	126	10	4	0	
спил дерева на кладбище цена	5	5	5	5	0	0	0	0	
спил дерева на придомовой территории многоквартирного дома	5	5	5	5	0	0	0	0	
спил дерева под лэп	5	5	5	5	3	0	0	0	
спил дерева расценка в смете	5	5	5	5	0	0	0	0	
спил дерева фото	5	5	5	5	0	0	0	0	
спил дерева целиком	5	5	5	5	1	1	1	0	
спил дерева цена	5	5	5	5	588	30	16	0	
спил дерева цена в московской области	5	5	5	5	0	0	0	0	
спил дерева цена работы	5	5	5	5	0	0	0	0	
